1020,3,1004,"Lecture","T,H","10:45 AM-12:05 PM","WILLIGAN, J. D.",60,66
3020,1,1004,"Lecture","M,W,F","08:35 AM-09:25 AM","GILLESPIE, D. L.",60,60
3020,2,1004,"Lecture","M,W,F","10:45 AM-11:35 AM","GILLESPIE, D. L.",60,60
3020,3,1004,"Lecture","T,H","02:00 PM-03:20 PM","WILLIGAN, J. D.",60,53
3030,1,1004,"Lecture","M,W,F","09:40 AM-10:30 AM","GOODMAN, M. N.",60,52
3030,2,1004,"Lecture","T,H","09:10 AM-10:30 AM","GUBIN, O. I.",60,28
3030,10,1004,"Lecture","M","06:30 PM-09:30 PM","TELFORD, T. A.",60,23
3111,1,1004,"Lecture","M,W,F","08:35 AM-09:25 AM","HAMILTON, B. E.",60,49
3111,2,1004,"Lecture","M,W,F","10:45 AM-11:35 AM","MILLER, G. A.",60,55
3112,1,1004,"Lecture","M,W,F","09:40 AM-10:30 AM","KENTOR, J. D.JORGENSON, A. K.",40,32
3112,2,1004,"Lecture","T,H","09:10 AM-10:30 AM","KUO, W. H.JORGENSON, A. K.",40,10
3112,3,1004,"Lecture","T,H","12:25 PM-01:45 PM","DAVIS, B. L.JORGENSON, A. K.",40,22
3112,10,1004,"Lecture","T","06:30 PM-10:00 PM","CELINSKA, K.",40,35
3112,70,1004,"Lecture","H","06:30 PM-10:00 PM","ALLEN, T. D.",40,45
3140,1,1004,"Lecture","T,H","10:45 AM-12:05 PM","BURNS, T. J.",60,63
3140,2,1004,"Lecture","T,H","02:00 PM-03:20 PM","BURNS, T. J.",60,20
3140,20,1004,"Lecture","M","06:30 PM-09:30 PM","KEARIN, T.",40,16
3334,1,1004,"Lecture","M,W,F","08:35 AM-09:25 AM","SHARDA, B. D.",40,29
3337,1,1004,"Lecture","M,W,F","11:50 AM-12:40 PM","GOODMAN, M. N.",40,64
3337,20,1004,"Lecture","W","06:30 PM-09:30 PM","GOODMAN, M. N.",30,28
3341,1,1004,"Lecture","M,W,F","10:45 AM-11:35 AM","SHARDA, B. D.",60,42
3380,1,1004,"Lecture","M,W,F","09:40 AM-10:30 AM","MARTINEZ, T. A.",99,95
3382,1,1004,"Lecture","M,W,F","12:55 PM-01:45 PM","GILLESPIE, D. L.",40,22
3422,1,1004,"Lecture","T,H","12:25 PM-01:45 PM","GUBIN, O. I.",60,26
3431,20,1004,"Lecture","T","06:30 PM-09:30 PM","KOSTUCHENKO, O. A.",40,8
