"44","GEOGR","6100","001","Lecture","30","Aerial Photo Interp","MW","0910 AM1030 AM","OSH 174","","LEE C M","1004"
"45","GEOGR","6140","001","Lecture","40","Intro GIS Methods","TH","0910 AM1030 AM","OSH 133","","COVA T J","1004"
"46","GEOGR","6140","002","Laboratory","","Intro GIS Methods","T","1045 AM1135 AM","OSH 273","","GLUCH R R","1004"
"47","GEOGR","6140","003","Laboratory","","Intro GIS Methods","H","1045 AM1135 AM","OSH 273","","GLUCH R R","1004"
"48","GEOGR","6140","004","Laboratory","","Intro GIS Methods","H","1150 AM1240 PM","OSH 273","","GLUCH R R","1004"
"49","GEOGR","6160","001","Lecture","30","Advanced GIS Methds II","T","0200 PM0320 PM","OSH 215","","HEPNER G F","1004"
"50","GEOGR","6160","002","Laboratory","","Advanced GIS Methds II","T","0340 PM0500 PM","OSH 273","","BARNEY C W","1004"
"51","GEOGR","6160","003","Laboratory","","Advanced GIS Methds II","H","0200 PM0320 PM","OSH 273","","BARNEY C W","1004"
"52","GEOGR","6810","001","Field Trip","40","Field SemGreat Basin","H","0600 PM0700 PM","OSH 215","","CURREY D R","1004"
"53","GEOGR","6810","002","Field Trip","40","Field SemColorPlateau","M","0600 PM0700 PM","OSH 215","","LIPS E W","1004"
"54","GEOGR","6900","001","Special Projects","1050","Research Practicum","TBA","TBA","TBA","","CURREY D R","1004"
"55","GEOGR","6900","002","Special Projects","1050","Research Practicum","TBA","TBA","TBA","","MOSER K A","1004"
"56","GEOGR","6920","001","Special Projects","10","Research Colloquium","TBA","TBA","TBA","","KONTULY T M","1004"
"57","GEOGR","6930","001","Special Projects","1050","Tchg Practicum Masters","TBA","TBA","TBA","","KONTULY T M","1004"
"58","GEOGR","6930","002","Special Projects","1050","Tchg Practicum Masters","TBA","TBA","TBA","","MOSER K A","1004"
"59","GEOGR","6950","001","Independent Study","1050","Indiv Projects","TBA","TBA","TBA","","KONTULY T M","1004"
"60","GEOGR","6950","002","Independent Study","1050","Indiv Projects","TBA","TBA","TBA","","RIDD M K","1004"
"61","GEOGR","6951","001","Independent Study","1050","Directed Reading","TBA","TBA","TBA","","KONTULY T M","1004"
"62","GEOGR","6960","001","Lecture","30","Limnology Lake Enviro","H","0530 PM0830 PM","OSH 215","DCE","MOSER K A","1004"
"63","GEOGR","6960","002","Lecture","30","Microwave Remote Sensng","T","1155 AM0145 PM","OSH 215","","FORSTER PHD R R","1004"
"64","GEOGR","6960","003","Lecture","30","Model/Human Vulnerablty","M","0200 PM0500 PM","OSH 215","","COVA T J","1004"
"65","GEOGR","6960","005","Lecture","30","SemGeogr Problems","T","0400 PM0630 PM","OSH 215","","MOSER K A","1004"
"66","GEOGR","6960","006","Lecture","30","SemGeogr Problems","TBA","TBA","TBA","","CURREY D R","1004"
"67","GEOGR","6963","001","Lecture","1050","Sustainable Systems","H","0530 PM0800 PM","OSH 111","DCE","EMMI P C","1004"
"68","GEOGR","6970","001","Thesis Research","10100","Thesis ResearchMstrs","TBA","TBA","TBA","","HEPNER G F","1004"
"69","GEOGR","6970","009","Thesis Research","10100","Thesis ResearchMstrs","TBA","TBA","TBA","","MILLER H J","1004"
"70","GEOGR","6974","001","Thesis Research","10100","Tech Reprt ResrchMstrs","TBA","TBA","TBA","","FORSTER PHD R R","1004"
